data,sklep,cena,nazwa,ld
02.02.2023 , AVANS , 519.99 , Dysk LACIE Rugged Mini 2TB HDD                    
02.02.2023 , AVANS , 369.85 , Dysk LACIE Rugged Mini 1TB HDD                    
02.02.2023 , AVANS , 759.0 , Dysk LACIE Rugged Mini 4TB HDD                    
02.02.2023 , AVANS , 399.0 , Dysk LACIE Mobile Drive 1TB HDD Srebrny                    
02.02.2023 , AVANS , 819.0 , Dysk LACIE Mobile Drive 5TB HDD                    
02.02.2023 , AVANS , 819.0 , Dysk LACIE Rugged 4TB HDD                    
02.02.2023 , AVANS , 738.29 , Dysk LACIE Mobile Drive 4TB HDD Szary                    
02.02.2023 , AVANS , 517.79 , Dysk LACIE Mobile Drive 2TB HDD Szary                    
02.02.2023 , AVANS , 845.14 , Dysk LACIE Mobile Drive 5TB HDD Szary                    
02.02.2023 , AVANS , 413.7 , Dysk LACIE Rugged 1TB HDD                    
02.02.2023 , AVANS , 639.0 , Dysk LACIE Rugged 2TB HDD                    
02.02.2023 , AVANS , 519.99 , Dysk LACIE Rugged Mini 2TB HDD                    
02.02.2023 , AVANS , 369.85 , Dysk LACIE Rugged Mini 1TB HDD                    
02.02.2023 , AVANS , 759.0 , Dysk LACIE Rugged Mini 4TB HDD                    
02.02.2023 , AVANS , 399.0 , Dysk LACIE Mobile Drive 1TB HDD Srebrny                    
02.02.2023 , AVANS , 819.0 , Dysk LACIE Mobile Drive 5TB HDD                    
02.02.2023 , AVANS , 819.0 , Dysk LACIE Rugged 4TB HDD                    
02.02.2023 , AVANS , 738.29 , Dysk LACIE Mobile Drive 4TB HDD Szary                    
02.02.2023 , AVANS , 517.79 , Dysk LACIE Mobile Drive 2TB HDD Szary                    
02.02.2023 , AVANS , 845.14 , Dysk LACIE Mobile Drive 5TB HDD Szary                    
02.02.2023 , AVANS , 413.7 , Dysk LACIE Rugged 1TB HDD                    
02.02.2023 , AVANS , 639.0 , Dysk LACIE Rugged 2TB HDD                    
02.02.2023 , AVANS , 519.99 , Dysk LACIE Rugged Mini 2TB HDD                    
02.02.2023 , AVANS , 369.85 , Dysk LACIE Rugged Mini 1TB HDD                    
02.02.2023 , AVANS , 759.0 , Dysk LACIE Rugged Mini 4TB HDD                    
02.02.2023 , AVANS , 399.0 , Dysk LACIE Mobile Drive 1TB HDD Srebrny                    
02.02.2023 , AVANS , 819.0 , Dysk LACIE Mobile Drive 5TB HDD                    
02.02.2023 , AVANS , 819.0 , Dysk LACIE Rugged 4TB HDD                    
02.02.2023 , AVANS , 738.29 , Dysk LACIE Mobile Drive 4TB HDD Szary                    
02.02.2023 , AVANS , 517.79 , Dysk LACIE Mobile Drive 2TB HDD Szary                    
02.02.2023 , AVANS , 845.14 , Dysk LACIE Mobile Drive 5TB HDD Szary                    
02.02.2023 , AVANS , 413.7 , Dysk LACIE Rugged 1TB HDD                    
02.02.2023 , AVANS , 639.0 , Dysk LACIE Rugged 2TB HDD                    
02.02.2023 , AVANS , 519.99 , Dysk LACIE Rugged Mini 2TB HDD                    
02.02.2023 , AVANS , 369.85 , Dysk LACIE Rugged Mini 1TB HDD                    
02.02.2023 , AVANS , 759.0 , Dysk LACIE Rugged Mini 4TB HDD                    
02.02.2023 , AVANS , 399.0 , Dysk LACIE Mobile Drive 1TB HDD Srebrny                    
02.02.2023 , AVANS , 819.0 , Dysk LACIE Mobile Drive 5TB HDD                    
02.02.2023 , AVANS , 819.0 , Dysk LACIE Rugged 4TB HDD                    
02.02.2023 , AVANS , 738.29 , Dysk LACIE Mobile Drive 4TB HDD Szary                    
02.02.2023 , AVANS , 517.79 , Dysk LACIE Mobile Drive 2TB HDD Szary                    
02.02.2023 , AVANS , 845.14 , Dysk LACIE Mobile Drive 5TB HDD Szary                    
02.02.2023 , AVANS , 413.7 , Dysk LACIE Rugged 1TB HDD                    
02.02.2023 , AVANS , 639.0 , Dysk LACIE Rugged 2TB HDD                    
